feature_name,data_type,encoding_method,group,description
f_ExportsList_create_7,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Create,"Embedding component derived from exported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ExportsList_create_8,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Create,"Embedding component derived from exported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ExportsList_create_9,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Create,"Embedding component derived from exported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ExportsList_create_10,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Create,"Embedding component derived from exported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ExportsList_create_11,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Create,"Embedding component derived from exported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ExportsList_create_12,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Create,"Embedding component derived from exported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ExportsList_create_13,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Create,"Embedding component derived from exported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ExportsList_create_14,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Create,"Embedding component derived from exported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ExportsList_create_15,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Create,"Embedding component derived from exported API/function names associated with creating files, processes, threads, registry keys, events, or other objects."
f_ExportsList_resume_0,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Resume,Embedding component derived from exported API/function names associated with resuming execution of processes or threads.
f_ExportsList_resume_1,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Resume,Embedding component derived from exported API/function names associated with resuming execution of processes or threads.
f_ExportsList_resume_2,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Resume,Embedding component derived from exported API/function names associated with resuming execution of processes or threads.
f_ExportsList_resume_3,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Resume,Embedding component derived from exported API/function names associated with resuming execution of processes or threads.
f_ExportsList_resume_4,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Resume,Embedding component derived from exported API/function names associated with resuming execution of processes or threads.
f_ExportsList_resume_5,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Resume,Embedding component derived from exported API/function names associated with resuming execution of processes or threads.
f_ExportsList_resume_6,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Resume,Embedding component derived from exported API/function names associated with resuming execution of processes or threads.
f_ExportsList_resume_7,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Resume,Embedding component derived from exported API/function names associated with resuming execution of processes or threads.
f_ExportsList_resume_8,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Resume,Embedding component derived from exported API/function names associated with resuming execution of processes or threads.
f_ExportsList_resume_9,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Resume,Embedding component derived from exported API/function names associated with resuming execution of processes or threads.
f_ExportsList_resume_10,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Resume,Embedding component derived from exported API/function names associated with resuming execution of processes or threads.
f_ExportsList_resume_11,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Resume,Embedding component derived from exported API/function names associated with resuming execution of processes or threads.
f_ExportsList_resume_12,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Resume,Embedding component derived from exported API/function names associated with resuming execution of processes or threads.
f_ExportsList_resume_13,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Resume,Embedding component derived from exported API/function names associated with resuming execution of processes or threads.
f_ExportsList_resume_14,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Resume,Embedding component derived from exported API/function names associated with resuming execution of processes or threads.
f_ExportsList_resume_15,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Resume,Embedding component derived from exported API/function names associated with resuming execution of processes or threads.
f_ExportsList_kill_0,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Kill,"Embedding component derived from exported API/function names associated with terminating processes, threads, or other resources."
f_ExportsList_kill_1,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Kill,"Embedding component derived from exported API/function names associated with terminating processes, threads, or other resources."
f_ExportsList_kill_2,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Kill,"Embedding component derived from exported API/function names associated with terminating processes, threads, or other resources."
f_ExportsList_kill_3,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Kill,"Embedding component derived from exported API/function names associated with terminating processes, threads, or other resources."
f_ExportsList_kill_4,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Kill,"Embedding component derived from exported API/function names associated with terminating processes, threads, or other resources."
f_ExportsList_kill_5,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Kill,"Embedding component derived from exported API/function names associated with terminating processes, threads, or other resources."
f_ExportsList_kill_6,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Kill,"Embedding component derived from exported API/function names associated with terminating processes, threads, or other resources."
f_ExportsList_kill_7,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Kill,"Embedding component derived from exported API/function names associated with terminating processes, threads, or other resources."
f_ExportsList_kill_8,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Kill,"Embedding component derived from exported API/function names associated with terminating processes, threads, or other resources."
f_ExportsList_kill_9,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Kill,"Embedding component derived from exported API/function names associated with terminating processes, threads, or other resources."
f_ExportsList_kill_10,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Kill,"Embedding component derived from exported API/function names associated with terminating processes, threads, or other resources."
f_ExportsList_kill_11,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Kill,"Embedding component derived from exported API/function names associated with terminating processes, threads, or other resources."
f_ExportsList_kill_12,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Kill,"Embedding component derived from exported API/function names associated with terminating processes, threads, or other resources."
f_ExportsList_kill_13,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Kill,"Embedding component derived from exported API/function names associated with terminating processes, threads, or other resources."
f_ExportsList_kill_14,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Kill,"Embedding component derived from exported API/function names associated with terminating processes, threads, or other resources."
f_ExportsList_kill_15,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Kill,"Embedding component derived from exported API/function names associated with terminating processes, threads, or other resources."
f_ExportsList_call_0,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Call,Embedding component derived from exported API/function names associated with invocation or execution behavior.
f_ExportsList_call_1,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Call,Embedding component derived from exported API/function names associated with invocation or execution behavior.
f_ExportsList_call_2,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Call,Embedding component derived from exported API/function names associated with invocation or execution behavior.
f_ExportsList_call_3,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Call,Embedding component derived from exported API/function names associated with invocation or execution behavior.
f_ExportsList_call_4,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Call,Embedding component derived from exported API/function names associated with invocation or execution behavior.
f_ExportsList_call_5,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Call,Embedding component derived from exported API/function names associated with invocation or execution behavior.
f_ExportsList_call_6,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Call,Embedding component derived from exported API/function names associated with invocation or execution behavior.
f_ExportsList_call_7,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Call,Embedding component derived from exported API/function names associated with invocation or execution behavior.
f_ExportsList_call_8,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Call,Embedding component derived from exported API/function names associated with invocation or execution behavior.
f_ExportsList_call_9,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Call,Embedding component derived from exported API/function names associated with invocation or execution behavior.
f_ExportsList_call_10,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Call,Embedding component derived from exported API/function names associated with invocation or execution behavior.
f_ExportsList_call_11,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Call,Embedding component derived from exported API/function names associated with invocation or execution behavior.
f_ExportsList_call_12,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Call,Embedding component derived from exported API/function names associated with invocation or execution behavior.
f_ExportsList_call_13,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Call,Embedding component derived from exported API/function names associated with invocation or execution behavior.
f_ExportsList_call_14,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Call,Embedding component derived from exported API/function names associated with invocation or execution behavior.
f_ExportsList_call_15,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Call,Embedding component derived from exported API/function names associated with invocation or execution behavior.
f_ExportsList_delete_0,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Delete,"Embedding component derived from exported API/function names associated with deleting files, registry entries, or other resources."
f_ExportsList_delete_1,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Delete,"Embedding component derived from exported API/function names associated with deleting files, registry entries, or other resources."
f_ExportsList_delete_2,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Delete,"Embedding component derived from exported API/function names associated with deleting files, registry entries, or other resources."
f_ExportsList_delete_3,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Delete,"Embedding component derived from exported API/function names associated with deleting files, registry entries, or other resources."
f_ExportsList_delete_4,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Delete,"Embedding component derived from exported API/function names associated with deleting files, registry entries, or other resources."
f_ExportsList_delete_5,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Delete,"Embedding component derived from exported API/function names associated with deleting files, registry entries, or other resources."
f_ExportsList_delete_6,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Delete,"Embedding component derived from exported API/function names associated with deleting files, registry entries, or other resources."
f_ExportsList_delete_7,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Delete,"Embedding component derived from exported API/function names associated with deleting files, registry entries, or other resources."
f_ExportsList_delete_8,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Delete,"Embedding component derived from exported API/function names associated with deleting files, registry entries, or other resources."
f_ExportsList_delete_9,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Delete,"Embedding component derived from exported API/function names associated with deleting files, registry entries, or other resources."
f_ExportsList_delete_10,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Delete,"Embedding component derived from exported API/function names associated with deleting files, registry entries, or other resources."
f_ExportsList_delete_11,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Delete,"Embedding component derived from exported API/function names associated with deleting files, registry entries, or other resources."
f_ExportsList_delete_12,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Delete,"Embedding component derived from exported API/function names associated with deleting files, registry entries, or other resources."
f_ExportsList_delete_13,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Delete,"Embedding component derived from exported API/function names associated with deleting files, registry entries, or other resources."
f_ExportsList_delete_14,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Delete,"Embedding component derived from exported API/function names associated with deleting files, registry entries, or other resources."
f_ExportsList_delete_15,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Delete,"Embedding component derived from exported API/function names associated with deleting files, registry entries, or other resources."
f_ExportsList_other_0,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Other,Embedding component derived from exported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ExportsList_other_1,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Other,Embedding component derived from exported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ExportsList_other_2,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Other,Embedding component derived from exported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ExportsList_other_3,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Other,Embedding component derived from exported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ExportsList_other_4,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Other,Embedding component derived from exported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ExportsList_other_5,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Other,Embedding component derived from exported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ExportsList_other_6,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Other,Embedding component derived from exported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ExportsList_other_7,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Other,Embedding component derived from exported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ExportsList_other_8,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Other,Embedding component derived from exported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ExportsList_other_9,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Other,Embedding component derived from exported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ExportsList_other_10,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Other,Embedding component derived from exported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ExportsList_other_11,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Other,Embedding component derived from exported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ExportsList_other_12,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Other,Embedding component derived from exported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ExportsList_other_13,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Other,Embedding component derived from exported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ExportsList_other_14,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Other,Embedding component derived from exported API/function names associated with operations that do not belong to the predefined behavioral categories.
f_ExportsList_other_15,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Export APIs – Other,Embedding component derived from exported API/function names associated with operations that do not belong to the predefined behavioral categories.
filename,String,None (metadata only),Metadata,Executable sample identifier/original filename; retained for sample tracking rather than model prediction.
label,Binary categorical,Binary class encoding,Target,Ground-truth class label indicating benign or malware.
